site,location,province,n_records,total_indiv,tier1_value_min_thb,tier1_value_mean_thb,tier1_value_max_thb,tier3_aesthetic_index
Chang Wreck,Koh Chang,Trat,6,14,1620,1798.75,1900,21826.05501
Hin Ploeng South West Pinnacle,Hin Ploeng,Rayong,4,7,460,788.95,1050,10099.615477
Hin Ploeng South,Hin Ploeng,Rayong,3,4,340,542.5,700,5925.187857000001
Petra Wreck,Petra Wreck,Rayong,9,14,350,350,350,20358.759382
Mariott,Phuket,Phuket,1,1,120,221.25,300,1434.505457
Petra Wrek,Koh Mun Nok,Rayong,2,3,120,221.25,300,4524.3150669999995
Koh Wai,Koh Chang,Trat,1,1,100,100,100,1584
D-Blocks 3B / 5B,D-Blocks 3B / 5B,Rayong,4,4,0,0,0,5861.656075999999
Haad Na Baan,Koh Mun Nai,Rayong,1,3,0,0,0,4494.297318
Hin Yuan North,Koh Mun Nok,Rayong,1,1,0,0,0,1467.715244
Karon Beach,Phuket,Phuket,1,1,0,0,0,1446
Koh Mun Nok West,Koh Mun Nok,Rayong,2,2,0,0,0,3197.0991059999997
Koh Sak NE,Pattaya,Chonburi,1,2,0,0,0,2996.198212
