survey,date,site,location,province,item,depth_min_(m),depth_max_(m),gear,length_(cm),width_(cm),heigth_(cm),type,category,full_name,living_animals,dead_animals,total_number_of_animals
S0001,44511,Chilli Drop,Koh Mun Nai,Rayong,1,7.5,7.5,Line,130,NA,NA,NA,NA,NA,0,0,0
S0001,44511,Chilli Drop,Koh Mun Nai,Rayong,2,7.3,7.3,Net,80,43,NA,NA,NA,NA,0,0,0
S0001,44511,Chilli Drop,Koh Mun Nai,Rayong,3,6,6,Rope,365,NA,NA,NA,NA,NA,0,0,0
S0001,44511,Chilli Drop,Koh Mun Nai,Rayong,4,5.9,5.9,Rope,320,NA,NA,NA,NA,NA,0,0,0
S0001,44511,Chilli Drop,Koh Mun Nai,Rayong,5,6.5,6.5,Rope,30,NA,NA,NA,NA,NA,0,0,0
S0001,44511,Chilli Drop,Koh Mun Nai,Rayong,6,6,6.5,Net,160,130,NA,NA,NA,NA,0,0,0
S0001,44511,Chilli Drop,Koh Mun Nai,Rayong,7,6.8,6.8,Net,130,70,NA,NA,NA,NA,0,0,0
S0001,44511,Chilli Drop,Koh Mun Nai,Rayong,8,7,7.2,Rope,280,NA,NA,NA,NA,NA,0,0,0
S0001,44511,Chilli Drop,Koh Mun Nai,Rayong,9,6.8,6.8,Net,267,55,NA,NA,NA,NA,0,0,0
S0001,44511,Chilli Drop,Koh Mun Nai,Rayong,10,7.3,7.3,Net,165,110,NA,NA,NA,NA,0,0,0
S0002,27/11/2021,Petra Wreck,Petra Wreck,Rayong,11,17,18,Net,970,140,NA,Inverts,C,Murex (Unid),3,1,4
S0002,27/11/2021,Petra Wreck,Petra Wreck,Rayong,11,17,18,Net,970,140,NA,Inverts,B,Crabs (Unid),1,0,1
S0002,27/11/2021,Petra Wreck,Petra Wreck,Rayong,11,17,18,Net,970,140,NA,Inverts,A,Bivalves,1,7,8
S0002,27/11/2021,Petra Wreck,Petra Wreck,Rayong,12,18,18,Net,180,100,NA,Inverts,A,Bivalves,1,2,3
S0002,27/11/2021,Petra Wreck,Petra Wreck,Rayong,13,18.100000000000001,18.100000000000001,Net,560,30,NA,NA,NA,NA,0,0,0
S0002,27/11/2021,Petra Wreck,Petra Wreck,Rayong,14,18.5,18.5,Rope,1430,NA,NA,NA,NA,NA,0,0,0
S0002,27/11/2021,Petra Wreck,Petra Wreck,Rayong,15,18,18,Net,150,20,NA,NA,NA,NA,0,0,0
S0002,27/11/2021,Petra Wreck,Petra Wreck,Rayong,16,18,18,Rope,1810,NA,NA,Fish,A,"Russel's snapper
(Lutjanus rusellii)",1,0,1
S0002,27/11/2021,Petra Wreck,Petra Wreck,Rayong,17,15.5,15.5,Net,500,200,NA,Fish,G,"Moray Eel
 (Gymnothorax sp.)",1,0,1
S0002,27/11/2021,Petra Wreck,Petra Wreck,Rayong,18,18,18,Net,190,30,NA,Fish,I,Fish (Unid),1,0,1
S0002,27/11/2021,Petra Wreck,Petra Wreck,Rayong,19,18,18,Net,50,20,NA,NA,NA,NA,0,0,0
S0002,27/11/2021,Petra Wreck,Petra Wreck,Rayong,20,17.5,17.5,Rope,700,NA,NA,NA,NA,NA,0,0,0
S0002,27/11/2021,Petra Wreck,Petra Wreck,Rayong,21,16,16,Net,50,50,NA,NA,NA,NA,0,0,0
S0002,27/11/2021,Petra Wreck,Petra Wreck,Rayong,22,16,16,Line,100,40,NA,NA,NA,NA,0,0,0
S0002,27/11/2021,Petra Wreck,Petra Wreck,Rayong,23,15,15,Net,NA,NA,NA,NA,NA,NA,0,0,0
S0003,27/11/2021,Koh Mun Klang,Koh Mun Klang,Rayong,24,6.4,6.4,Line,180,NA,NA,NA,NA,NA,0,0,0
S0003,27/11/2021,Koh Mun Klang,Koh Mun Klang,Rayong,25,5.4,5.4,Net,110,75,NA,NA,NA,NA,0,0,0
S0003,27/11/2021,Koh Mun Klang,Koh Mun Klang,Rayong,26,4.4000000000000004,4.4000000000000004,Net,150,140,NA,NA,NA,NA,0,0,0
S0003,27/11/2021,Koh Mun Klang,Koh Mun Klang,Rayong,27,6,6,Net,460,70,NA,NA,NA,NA,0,0,0
S0003,27/11/2021,Koh Mun Klang,Koh Mun Klang,Rayong,28,2.4,2.4,Rope,178,NA,NA,NA,NA,NA,0,0,0
S0003,27/11/2021,Koh Mun Klang,Koh Mun Klang,Rayong,29,5.4,5.4,Rope,580,NA,NA,NA,NA,NA,0,0,0
S0003,27/11/2021,Koh Mun Klang,Koh Mun Klang,Rayong,30,7.4,7.4,Rope,170,NA,NA,NA,NA,NA,0,0,0
S0003,27/11/2021,Koh Mun Klang,Koh Mun Klang,Rayong,31,4.9000000000000004,4.9000000000000004,Rope,NA,NA,NA,NA,NA,NA,0,0,0
S0003,27/11/2021,Koh Mun Klang,Koh Mun Klang,Rayong,32,5.0999999999999996,5.0999999999999996,Net,2020,30,NA,Inverts,B,Crabs (Unid),0,1,1
S0003,27/11/2021,Koh Mun Klang,Koh Mun Klang,Rayong,33,5,5,Rope,210,NA,NA,NA,NA,NA,0,0,0
S0003,27/11/2021,Koh Mun Klang,Koh Mun Klang,Rayong,34,5.7,5.7,Net,100,30,NA,NA,NA,NA,0,0,0
S0003,27/11/2021,Koh Mun Klang,Koh Mun Klang,Rayong,35,6,6,Rope,550,NA,NA,NA,NA,NA,0,0,0
S0003,27/11/2021,Koh Mun Klang,Koh Mun Klang,Rayong,36,5.7,5.7,Rope,410,NA,NA,NA,NA,NA,0,0,0
S0004,28/11/2021,Hin Dam,Koh Mun Nok,Rayong,37,12.1,12.1,Net,100,50,NA,NA,NA,NA,0,0,0
S0004,28/11/2021,Hin Dam,Koh Mun Nok,Rayong,38,11.4,11.4,Net,590,170,NA,NA,NA,NA,0,0,0
S0005,28/11/2021,Chilli Drop,Koh Mun Nai,Rayong,39,6.1,6.1,Line,100,NA,NA,NA,NA,NA,0,0,0
S0005,28/11/2021,Chilli Drop,Koh Mun Nai,Rayong,40,7,7,Net,100,70,NA,NA,NA,NA,0,0,0
S0005,28/11/2021,Chilli Drop,Koh Mun Nai,Rayong,41,3.7,3.7,Line,460,NA,NA,NA,NA,NA,0,0,0
S0006,27/12/2021,Chalok Bay,Koh Tao,Surat Thani,42,7,7,Cage,150,75,75,NA,NA,NA,0,0,0
S0006,27/12/2021,Chalok Bay,Koh Tao,Surat Thani,43,4.5,4.5,Line,1500,NA,NA,NA,NA,NA,0,0,0
S0007,44358,Koh Si,Ao Nang,Krabi,44,10.8,10.8,Net,500,NA,NA,NA,NA,NA,0,0,0
S0007,44358,Koh Si,Ao Nang,Krabi,45,13.7,13.7,Net,150,NA,NA,NA,NA,NA,0,0,0
S0007,44358,Koh Si,Ao Nang,Krabi,46,17.399999999999999,17.399999999999999,Net,300,NA,NA,NA,NA,NA,0,0,0
S0007,44358,Koh Si,Ao Nang,Krabi,47,10.199999999999999,10.199999999999999,Rope,100,NA,NA,NA,NA,NA,0,0,0
S0008,44743,Koh Daeng,Ao Nang,Krabi,48,7.5,7.5,Net,2800,500,NA,Inverts,B,Crabs (Unid),1,0,1
S0008,44743,Koh Daeng,Ao Nang,Krabi,48,7.5,7.5,Net,2800,500,NA,Inverts,B,Crabs (Unid),1,0,1
S0009,13/01/2022,Mariott,Phuket,Phuket,49,9.6,9.6,Line,113,NA,NA,NA,NA,NA,0,0,0
S0009,13/01/2022,Mariott,Phuket,Phuket,50,10,10,Net,89,28,NA,NA,NA,NA,0,0,0
S0009,13/01/2022,Mariott,Phuket,Phuket,51,11.4,11.4,Rope,138,NA,NA,NA,NA,NA,0,0,0
