survey_id,date,site,location,province,gear_type,depth_min_m,depth_max_m,sci_name,taxon_raw,family,category,n_alive,n_dead,n_indiv,status
S0002,2021-11-27T00:00:00Z,Petra Wreck,Petra Wreck,Rayong,rope,18,18,"Russel's snapper
(Lutjanus rusellii)","Russel's snapper
(Lutjanus rusellii)",Lutjanus,A,1,0,1,alive
S0002,2021-11-27T00:00:00Z,Petra Wreck,Petra Wreck,Rayong,net,15.5,15.5,"Moray Eel
 (Gymnothorax sp.)","Moray Eel
 (Gymnothorax sp.)",Maurenae,G,1,0,1,alive
S0002,2021-11-27T00:00:00Z,Petra Wreck,Petra Wreck,Rayong,net,18,18,NA,Fish (Unid),UNKN,I,1,0,1,alive
S0011,2022-01-13T00:00:00Z,Mariott,Phuket,Phuket,net,13.9,13.9,Grouper,Grouper,Epinephelus,B,1,0,1,alive
S0020,2021-03-19T00:00:00Z,Hin Yuan North,Koh Mun Nok,Rayong,net,8,8,Pufferfish,Pufferfish,Tetrodontidae,F,0,1,1,dead
S0021,2021-04-27T00:00:00Z,Haad Na Baan,Koh Mun Nai,Rayong,net,20,20,NA,Fish (Unid),UNKN,I,0,3,3,dead
S0022,2021-04-24T00:00:00Z,D-Blocks 3B / 5B,D-Blocks 3B / 5B,Rayong,net,17.2,17.2,Bream Fish,Bream Fish,NA,E,1,0,1,alive
S0022,2021-04-24T00:00:00Z,D-Blocks 3B / 5B,D-Blocks 3B / 5B,Rayong,net,17.2,17.2,NA,Fish (Unid),UNKN,I,0,1,1,dead
S0022,2021-04-24T00:00:00Z,D-Blocks 3B / 5B,D-Blocks 3B / 5B,Rayong,net,16.5,16.5,Cardinalfish,Cardinalfish,Apogonidae.sp,NA,1,0,1,alive
S0022,2021-04-24T00:00:00Z,D-Blocks 3B / 5B,D-Blocks 3B / 5B,Rayong,net,16.5,16.5,Filefish,Filefish,NA,H,0,1,1,dead
S0032,2022-02-13T00:00:00Z,Karon Beach,Phuket,Phuket,net,5,5,Dusky Rabbitfish,Dusky Rabbitfish,Signanidae,C,1,0,1,alive
S0035,2022-01-29T00:00:00Z,Hin Ploeng South,Hin Ploeng,Rayong,net,9,9,Grouper,Grouper,Epinephelus,B,1,1,2,mixed
S0035,2022-01-29T00:00:00Z,Hin Ploeng South,Hin Ploeng,Rayong,net,9,9,Rabbitfish,Rabbitfish,Signanidae,C,1,0,1,alive
S0035,2022-01-29T00:00:00Z,Hin Ploeng South,Hin Ploeng,Rayong,net,9,9,Damselfish,Damselfish,Pomecentridae,H,1,0,1,alive
S0053,2022-03-13T00:00:00Z,Petra Wrek,Koh Mun Nok,Rayong,cage,16.4,16.4,Porcupinefish,Porcupinefish,Diodontidae,NA,2,0,2,alive
S0062,2022-05-03T00:00:00Z,Koh Wai,Koh Chang,Trat,rope,3.5,3.5,Rabbitfish,Rabbitfish,Signanidae,C,0,1,1,dead
S0064,2022-08-22T00:00:00Z,Chang Wreck,Koh Chang,Trat,net,5,31,Fusilier fish,Fusilier fish,Caesonidae,C,1,0,1,alive
S0064,2022-08-22T00:00:00Z,Chang Wreck,Koh Chang,Trat,net,5,31,Batfish,Batfish,Platax,C,0,6,6,dead
S0064,2022-08-22T00:00:00Z,Chang Wreck,Koh Chang,Trat,net,5,31,Rabbitfish,Rabbitfish,Signanidae,C,0,3,3,dead
S0064,2022-08-22T00:00:00Z,Chang Wreck,Koh Chang,Trat,net,5,31,Squirrelfish,Squirrelfish,Holocentridae,H,0,1,1,dead
S0064,2022-08-22T00:00:00Z,Chang Wreck,Koh Chang,Trat,net,5,31,Trevally,Trevally,Carangidae,A,0,2,2,dead
S0064,2022-08-22T00:00:00Z,Chang Wreck,Koh Chang,Trat,net,5,31,Grouper,Grouper,Epinephelus,B,0,1,1,dead
S0066,2022-10-18T00:00:00Z,Petra Wrek,Koh Mun Nok,Rayong,net,14.8,14.8,Grouper,Grouper,Epinephelus,B,1,0,1,alive
S0076,2022-12-07T00:00:00Z,Petra Wreck,Petra Wreck,Rayong,net,16,16,NA,Fish (Unid),UNKN,I,0,2,2,dead
S0076,2022-12-07T00:00:00Z,Petra Wreck,Petra Wreck,Rayong,net,16,16,Damselfish,Damselfish,Pomecentridae,H,1,0,1,alive
S0076,2022-12-07T00:00:00Z,Petra Wreck,Petra Wreck,Rayong,net,16,16,NA,Fish (Unid),UNKN,I,0,1,1,dead
S0077,2022-12-07T00:00:00Z,Petra Wreck,Petra Wreck,Rayong,net,15.3,15.3,Yellow-Stripe Trevally,Yellow-Stripe Trevally,Carangidae,A,1,1,2,mixed
S0077,2022-12-07T00:00:00Z,Petra Wreck,Petra Wreck,Rayong,net,17.5,17.5,NA,Fish (Unid),UNKN,I,0,4,4,dead
S0080,2022-12-07T00:00:00Z,Koh Mun Nok West,Koh Mun Nok,Rayong,net,10,10,NA,Fish (Unid),UNKN,I,0,1,1,dead
S0084,2023-02-23T00:00:00Z,Hin Ploeng South West Pinnacle,Hin Ploeng,Rayong,net,5,18,Grouper,Grouper,Epinephelus,B,2,1,3,mixed
S0084,2023-02-23T00:00:00Z,Hin Ploeng South West Pinnacle,Hin Ploeng,Rayong,net,5,18,Scorpionfish,Scorpionfish,NA,B,2,0,2,alive
S0084,2023-02-23T00:00:00Z,Hin Ploeng South West Pinnacle,Hin Ploeng,Rayong,net,5,18,Barracuda,Barracuda,Sphyrenadae,A,0,1,1,dead
S0084,2023-02-23T00:00:00Z,Hin Ploeng South West Pinnacle,Hin Ploeng,Rayong,net,5,18,NA,Fish (Unid),UNKN,I,0,1,1,dead
