service,value_usd,country,reference
recreation,1016,Indonesia,Rumahorbo et al. 2020
recreation,59624,Indonesia,Windayati et al. 2022
recreation,224.5,Philippines,Samonte-Tan and Armedilla 2004
recreation,27.6,Philippines,Samonte-Tan and Armedilla 2004
recreation,0.1,Philippines,Samonte-Tan and Armedilla 2004
recreation,170.1,Philippines,Samonte-Tan and Armedilla 2004
recreation,120.5,Korea,Park et al.
recreation,433.2,Vietnam,Lan et al.
recreation,867.8,Vietnam,Lan et al.
recreation,2806,Vietnam,Lan et al.
recreation,11.3,Indonesia,Yasir Haya and Fujii
recreation,5.2,Indonesia,Yasir Haya and Fujii
recreation,16771,Japan,Nohara et al.
