survey_id,date,site,location,province,gear_type,taxon_raw,sci_name,common_name,genus,family,taxon_level,taxon_confidence,n_alive,n_dead,n_indiv,status,trophic_group,herbivore_class,predator_class,functional_group,category,ecosystem_role,ecosystem_benefit,price_min_thb,price_mean_thb,price_max_thb,price_sd_thb,price_n,tier1_priced,tier1_price_match,tier1_value_min_thb,tier1_value_mean_thb,tier1_value_max_thb,tribot_2018_taxon,langlois_2022_taxon,tribot_2018_score,langlois_2022_score,aesthetic_score_mean,score_source,assumption_level,Match,tier3_scored,tier3_match_type,tier3_match_confidence,tier3_aesthetic_index
S0002,2021-11-27T00:00:00Z,Petra Wreck,Petra Wreck,Rayong,rope,Russel's snapper (Lutjanus rusellii),Lutjanus russellii,Russell's snapper,Lutjanus,NA,species,high,1,0,1,alive,piscivore,NA,midwater_predator,Piscivore,Predator - Midwater,Predator,Trophic Stability,150,150,150,0,8,TRUE,priced,150,150,150,Lutjanus fulviflamma Ð Blacktail Snapper,Lutjanus russellii - Russel's Snapper,1276.15312,1331,1331,Langlois et al. 2022,direct,L,TRUE,langlois_direct,high,1331
S0002,2021-11-27T00:00:00Z,Petra Wreck,Petra Wreck,Rayong,net,Moray Eel (Gymnothorax sp.),Gymnothorax sp.,Moray eel,Gymnothorax,NA,genus,medium,1,0,1,alive,piscivore,NA,demersal_predator,Piscivore,Eels,Predator,Trophic Stability,NA,NA,NA,NA,NA,FALSE,unpriced,NA,NA,NA,Gymnothorax favagineus Ð Laced Moray,Gymnothorax thyrsoideus - White-edged Moray,1532.579181,1401,1466.789591,Tribot et al. 2018; Langloiset al. 2022 (proxy),proxy,P,TRUE,proxy,medium,1466.789591
S0002,2021-11-27T00:00:00Z,Petra Wreck,Petra Wreck,Rayong,net,Fish (Unid),NA,Unknown fish,NA,UNKN,unknown,low,1,0,1,alive,NA,NA,NA,NA,Unidentified,NA,NA,NA,NA,NA,NA,NA,FALSE,unpriced,NA,NA,NA,Unknown,Unknown,1506.198212,1490,1498.099106,Tribot et al. 2018; Langloiset al. 2022 (proxy),proxy,P,TRUE,proxy,medium,1498.099106
S0011,2022-01-13T00:00:00Z,Mariott,Phuket,Phuket,net,Grouper,Epinephelus spp.,Grouper,Epinephelus,Epinephelus,genus,medium,1,0,1,alive,piscivore,NA,demersal_predator,Piscivore,Predator - Demersal,Predator,Trophic Stability,120,221.25,300,65,16,TRUE,priced,120,221.25,300,Epinephelus areolatus Ð Areolate Grouper,Epinephelus corallicola - Coral Grouper,1436.010914,1433,1434.505457,Tribot et al. 2018; Langloiset al. 2022 (proxy),proxy,P,TRUE,proxy,medium,1434.505457
S0020,2021-03-19T00:00:00Z,Hin Yuan North,Koh Mun Nok,Rayong,net,Pufferfish,Tetraodontidae spp.,Pufferfish,NA,Tetrodontidae,family,medium,0,1,1,dead,invertivore,NA,NA,Invertivore,Puffer/Porcupine,Predator,Trophic Stability,NA,NA,NA,NA,NA,FALSE,unpriced,NA,NA,NA,Arothron nigropunctatus Ð Dog-faced Puffer,Arothron nigropunctatus - Dog-faced Puffer,1369.430488,1566,1467.715244,Tribot et al. 2018; Langlois et al. 2022 (exact),direct,B,TRUE,broad_proxy,high,1467.715244
S0021,2021-04-27T00:00:00Z,Haad Na Baan,Koh Mun Nai,Rayong,net,Fish (Unid),NA,Unknown fish,NA,UNKN,unknown,low,0,3,3,dead,NA,NA,NA,NA,Unidentified,NA,NA,NA,NA,NA,NA,NA,FALSE,unpriced,NA,NA,NA,Unknown,Unknown,1506.198212,1490,1498.099106,Tribot et al. 2018; Langloiset al. 2022 (proxy),proxy,P,TRUE,proxy,medium,4494.297318
S0022,2021-04-24T00:00:00Z,D-Blocks 3B / 5B,D-Blocks 3B / 5B,Rayong,net,Bream Fish,Nemipteridae spp.,Bream,NA,NA,family,medium,1,0,1,alive,invertivore,NA,NA,Invertivore,Breams,Predator,Trophic Stability,NA,NA,NA,NA,NA,FALSE,unpriced,NA,NA,NA,Scolopsis ghanam Ð Arabian Monocle Bream,Scolopsis ghanam - Arabian Monocle Bream,1304.878552,1460,1382.439276,Tribot et al. 2018; Langlois et al. 2022 (exact),direct,B,TRUE,broad_proxy,high,1382.439276
S0022,2021-04-24T00:00:00Z,D-Blocks 3B / 5B,D-Blocks 3B / 5B,Rayong,net,Fish (Unid),NA,Unknown fish,NA,UNKN,unknown,low,0,1,1,dead,NA,NA,NA,NA,Unidentified,NA,NA,NA,NA,NA,NA,NA,FALSE,unpriced,NA,NA,NA,Unknown,Unknown,1506.198212,1490,1498.099106,Tribot et al. 2018; Langloiset al. 2022 (proxy),proxy,P,TRUE,proxy,medium,1498.099106
S0022,2021-04-24T00:00:00Z,D-Blocks 3B / 5B,D-Blocks 3B / 5B,Rayong,net,Cardinalfish,Apogonidae spp.,Cardinalfish,NA,Apogonidae.sp,family,medium,1,0,1,alive,NA,NA,NA,??,Misc.,??,NA,NA,NA,NA,NA,NA,FALSE,unpriced,NA,NA,NA,Chromis nigroanalis Ð Black-anus Chromis,Apogonichthyoides timorensis - Timor Cardinalfish,1329.235388,1379,1354.117694,Tribot et al. 2018; Langloiset al. 2022 (proxy),proxy,P,TRUE,proxy,medium,1354.117694
S0022,2021-04-24T00:00:00Z,D-Blocks 3B / 5B,D-Blocks 3B / 5B,Rayong,net,Filefish,Monacanthidae spp.,Filefish,NA,NA,family,medium,0,1,1,dead,invertivore,NA,NA,Invertivore,Misc.,Herbivory,Reef Resilience,NA,NA,NA,NA,NA,FALSE,unpriced,NA,NA,NA,Paraluteres prionurus Ð Blacksaddle Filefish,Aluterus scriptus - Scribbled Filefish,1579.873376,1627,1627,Langlois et al. 2022,direct,L,TRUE,langlois_direct,high,1627
S0032,2022-02-13T00:00:00Z,Karon Beach,Phuket,Phuket,net,Dusky Rabbitfish,Siganus luridus,Dusky rabbitfish,Siganus,Siganidae,species,high,1,0,1,alive,herbivore,high,NA,Herbivore,Midwater Schooling,Herbivory,Reef Resilience,NA,NA,NA,NA,NA,FALSE,unpriced,NA,NA,NA,Acanthurus tristis Ð Indian Ocean Mimic Surgeonfish,Siganus luridus - Dusky Rabbitfish,1371.509794,1446,1446,Langlois et al. 2022,direct,L,TRUE,langlois_direct,high,1446
S0035,2022-01-29T00:00:00Z,Hin Ploeng South,Hin Ploeng,Rayong,net,Grouper,Epinephelus spp.,Grouper,Epinephelus,Epinephelus,genus,medium,1,1,2,mixed,piscivore,NA,demersal_predator,Piscivore,Predator - Demersal,Predator,Trophic Stability,120,221.25,300,65,16,TRUE,priced,240,442.5,600,Epinephelus areolatus Ð Areolate Grouper,Epinephelus corallicola - Coral Grouper,1436.010914,1433,1434.505457,Tribot et al. 2018; Langloiset al. 2022 (proxy),proxy,P,TRUE,proxy,medium,2869.010914
S0035,2022-01-29T00:00:00Z,Hin Ploeng South,Hin Ploeng,Rayong,net,Rabbitfish,Siganus spp.,Rabbitfish,Siganus,Siganidae,genus,medium,1,0,1,alive,herbivore,high,NA,Herbivore,Midwater Schooling,Herbivory,Reef Resilience,100,100,100,0,5,TRUE,priced,100,100,100,Ctenochaetus striatus Ð Striated Surgeonfish,Siganus javus - Java Rabbitfish,1295.176434,1584,1584,Langlois et al. 2022,proxy,L,TRUE,langlois_direct,medium,1584
S0035,2022-01-29T00:00:00Z,Hin Ploeng South,Hin Ploeng,Rayong,net,Damselfish,Pomacentridae spp.,Damselfish,NA,Pomecentridae,family,medium,1,0,1,alive,herbivore,medium,NA,Herbivore,Misc.,Herbivory,Reef Resilience,NA,NA,NA,NA,NA,FALSE,unpriced,NA,NA,NA,Dascyllus trimaculatus Ð Domino Damselfish,Dascyllus trimaculatus - Domino Damselfish,1246.353885,1698,1472.176943,Tribot et al. 2018; Langlois et al. 2022 (exact),direct,B,TRUE,broad_proxy,high,1472.176943
S0053,2022-03-13T00:00:00Z,Petra Wrek,Koh Mun Nok,Rayong,cage,Porcupinefish,Diodontidae spp.,Porcupinefish,NA,Diodontidae,family,medium,2,0,2,alive,invertivore,NA,NA,Invertivore,NA,Predation,Trophic Stability,NA,NA,NA,NA,NA,FALSE,unpriced,NA,NA,NA,Arothron stellatus Ð Starry Puffer,Diodon hystrix - Spotfin Porcupinefish,1556.809611,1533,1544.904805,Tribot et al. 2018; Langloiset al. 2022 (proxy),proxy,P,TRUE,proxy,medium,3089.80961
S0062,2022-05-03T00:00:00Z,Koh Wai,Koh Chang,Trat,rope,Rabbitfish,Siganus spp.,Rabbitfish,Siganus,Siganidae,genus,medium,0,1,1,dead,herbivore,high,NA,Herbivore,Midwater Schooling,Herbivory,Reef Resilience,100,100,100,0,5,TRUE,priced,100,100,100,Ctenochaetus striatus Ð Striated Surgeonfish,Siganus javus - Java Rabbitfish,1295.176434,1584,1584,Langlois et al. 2022,proxy,L,TRUE,langlois_direct,medium,1584
S0064,2022-08-22T00:00:00Z,Chang Wreck,Koh Chang,Trat,net,Fusilier fish,Caesionidae spp.,Fusilier,NA,Caesonidae,family,medium,1,0,1,alive,planktivore,NA,NA,Planktivore,Midwater Schooling,Nutrient Cycling,Productivity,NA,NA,NA,NA,NA,FALSE,unpriced,NA,NA,NA,Caesio xanthonota Ð Yellowback Fusilier,Caesio xanthonota - Yellowback Fusilier,1437.193658,1490,1463.596829,Tribot et al. 2018; Langlois et al. 2022 (exact),direct,B,TRUE,broad_proxy,high,1463.596829
S0064,2022-08-22T00:00:00Z,Chang Wreck,Koh Chang,Trat,net,Batfish,Platax spp.,Batfish,Platax,Platax,genus,medium,0,6,6,dead,invertivore,NA,NA,Invertivore,Midwater Schooling,Herbivory,Reef Resilience,150,150,150,NA,1,TRUE,priced,900,900,900,Zanclus cornutus Ð Moorish Idol,Platax teira - Longfin Batfish,1876.37843,1640,1640,Langlois et al. 2022,direct,L,TRUE,langlois_direct,high,9840
S0064,2022-08-22T00:00:00Z,Chang Wreck,Koh Chang,Trat,net,Rabbitfish,Siganus spp.,Rabbitfish,Siganus,Siganidae,genus,medium,0,3,3,dead,herbivore,high,NA,Herbivore,Midwater Schooling,Herbivory,Reef Resilience,100,100,100,0,5,TRUE,priced,300,300,300,Ctenochaetus striatus Ð Striated Surgeonfish,Siganus javus - Java Rabbitfish,1295.176434,1584,1584,Langlois et al. 2022,proxy,L,TRUE,langlois_direct,medium,4752
