taxon_raw,sci_name,common_name,family,genus,taxon_level,taxon_confidence,notes
Cardinalfish,Apogonidae spp.,Cardinalfish,Apogonidae,NA,family,medium,
Fusilier fish,Caesionidae spp.,Fusilier,Caesionidae,NA,family,medium,family corrected from Caesonidae
Trevally,Carangidae spp.,Trevally,Carangidae,NA,family,medium,
Yellow-Stripe Trevally,Selaroides leptolepis,Yellowstripe trevally,Carangidae,Selaroides,genus,medium,assumed S leptolepsis 
8 Banded Butterflyfish,Chaetodon octofasciatus,Eightband butterflyfish,Chaetodontidae,Chaetodon,species,high,
Porcupinefish,Diodontidae spp.,Porcupinefish,Diodontidae,NA,family,medium,
Grouper,Epinephelus spp.,Grouper,Serranidae,Epinephelus,genus,medium,family corrected
Squirrelfish,Holocentridae spp.,Squirrelfish,Holocentridae,NA,family,medium,
Russel's snapper (Lutjanus rusellii),Lutjanus russellii,Russell's snapper,Lutjanidae,Lutjanus,species,high,spelling corrected
Moray Eel (Gymnothorax sp.),Gymnothorax sp.,Moray eel,Muraenidae,Gymnothorax,genus,medium,family corrected
Batfish,Platax spp.,Batfish,Ephippidae,Platax,genus,medium,family corrected
Damselfish,Pomacentridae spp.,Damselfish,Pomacentridae,NA,family,medium,family corrected
Dusky Rabbitfish,Siganus luridus,Dusky rabbitfish,Siganidae,Siganus,species,high,family corrected
Rabbitfish,Siganus spp.,Rabbitfish,Siganidae,Siganus,genus,medium,family corrected
Barracuda,Sphyraena spp.,Barracuda,Sphyraenidae,Sphyraena,genus,medium,family corrected
Pufferfish,Tetraodontidae spp.,Pufferfish,Tetraodontidae,NA,family,medium,family corrected
Fish (Unid),NA,Unknown fish,NA,NA,unknown,low,
Bream Fish,Nemipteridae spp.,Bream,Nemipteridae,NA,family,medium,assumed monocle bream group
Filefish,Monacanthidae spp.,Filefish,Monacanthidae,NA,family,medium,
Scorpionfish,Scorpaenidae spp.,Scorpionfish,Scorpaenidae,NA,family,medium,
