...1,food/fisheries_$,recreation_$,coastal_protection_$,country,reference,...7,...8,...9
Mean,"Marine: 5644, Coastal: 33,866","Marine: 33170, Coastal: 21,514",1489,NA,NA,NA,NA,NA
1,12988,NA,NA,Indonseia,"Rumahorbo, B. T., Hamuna, B., & Keiluhu, H. J. (2020). An assessment of the coastal ecosystem services of Jayapura City, Papua Province, Indonesia. Environmental & Socio-economic Studies, 8(2), 45-53.",NA,NA,NA
2,755,NA,NA,Indonseia,"Windayati, R., Mutaqin, B. W., Marfai, M. A., Pangaribowo, E. H., Helmi, M., & Rindarjono, M. G. (2022). Assessment of coral-reef ecosystem services in West Buleleng conservation Zone, Bali, Indonesia. Journal of Coastal Conservation, 26(5), 43.
",NA,NA,NA
3,916.3,NA,NA,Phillipines,"Samonte-Tan, G. and Armedilla, M. C. 2004. Economic Valuation of Philippine Coral Reefs in the South China Sea Biogeographic Region. National Coral Reef Review Series No. 3. UNEP",NA,NA,NA
4,120.5,NA,NA,Phillipines,"Samonte-Tan, G. and Armedilla, M. C. 2004. Economic Valuation of Philippine Coral Reefs in the South China Sea Biogeographic Region. National Coral Reef Review Series No. 3. UNEP",NA,NA,NA
5,120.5,NA,NA,Phillipines,"Samonte-Tan, G. and Armedilla, M. C. 2004. Economic Valuation of Philippine Coral Reefs in the South China Sea Biogeographic Region. National Coral Reef Review Series No. 3. UNEP",NA,NA,NA
6,120.5,NA,NA,Phillipines,"Samonte-Tan, G. and Armedilla, M. C. 2004. Economic Valuation of Philippine Coral Reefs in the South China Sea Biogeographic Region. National Coral Reef Review Series No. 3. UNEP",NA,NA,NA
7,120.4,NA,NA,Phillipines,"Samonte-Tan, G. and Armedilla, M. C. 2004. Economic Valuation of Philippine Coral Reefs in the South China Sea Biogeographic Region. National Coral Reef Review Series No. 3. UNEP",NA,NA,NA
8,295.3,NA,NA,Vietnam,"Lan, T. D., Huyen, N. T. M., Chie",NA,NA,NA
9,11464,NA,NA,Vietnam,"Lan, T. D., Huyen, N. T. M., Chie",NA,NA,NA
10,27156,NA,NA,Vietnam,"Lan, T. D., Huyen, N. T. M., Chie",NA,NA,NA
11,74,NA,NA,Indonesia,"Yasir Haya, L. O. M., & Fujii, M.",NA,NA,NA
1,NA,1016,NA,Indonesia,"Rumahorbo, B. T., Hamuna, B",NA,NA,NA
2,NA,59624,NA,Indonesia,"Windayati, R., Mutaqin, B. W.,",NA,NA,****(SOME OF THESE REFERENCES WOULDNT ALLOW ME TO COPY AND PASTE!)****
3,NA,224.5,NA,Phillipines,"Samonte-Tan, G. and Armedilla",NA,NA,NA
4,NA,27.6,NA,Phillipines,"Samonte-Tan, G. and Armedilla,",NA,NA,NA
5,NA,0.1,NA,Phillipines,"Samonte-Tan, G. and Armedilla,",NA,NA,NA
6,NA,170.1,NA,Phillipines,"Samonte-Tan, G. and Armedilla",NA,NA,NA
7,NA,120.5,NA,Korea,"Park, S. Y., Lee, C. S., Kim,",NA,NA,NA
8,NA,433.2,NA,Vietnam,"Lan, T. D., Huyen, N. T. M., Chi",NA,NA,NA
9,NA,867.8,NA,Vietnam,"Lan, T. D., Huyen, N. T. M., Chi",NA,NA,NA
10,NA,2806,NA,Vietnam,"Lan, T. D., Huyen, N. T. M., Chi",NA,NA,NA
11,NA,11.3,NA,Indonseia,"Yasir Haya, L. O. M., & Fujii, M",NA,NA,NA
12,NA,5.2,NA,Indonseia,"Yasir Haya, L. O. M., & Fujii, M",NA,NA,NA
13,NA,16771,NA,Japan,"Nohara, K., Narukawa, M., & Hi",NA,NA,NA
1,NA,NA,18006,Indonesia,"Rumahorbo, B. T., Hamuna, B",NA,NA,NA
2,NA,NA,11388,Indonesia,West Buleleng Conser,NA,NA,NA
3,NA,NA,74.5,Phillipines,"Samonte-Tan, G. and Armedill",NA,NA,NA
4,NA,NA,248.5,Phillipines,"Samonte-Tan, G. and Armedilla",NA,NA,NA
5,NA,NA,248.4,Phillipines,"Samonte-Tan, G. and Armedilla",NA,NA,NA
6,NA,NA,2.7,Vietnam,"Lan, T. D., Huyen, N. T. M., Chien, H. T., & Hens, L. (2021). Identification and estimation of the marine ecosystem services surrounding selected offshore islands of Vietnam. Environment, Development and Sustainability, 23(2), 2224-2242.",NA,NA,NA
7,NA,NA,1556,Vietnam,"Lan, T. D., Huyen, N. T. M., Chien, H. T., & Hens, L. (2021). Identification and estimation of the marine ecosystem services surrounding selected offshore islands of Vietnam. Environment, Development and Sustainability, 23(2), 2224-2242.",NA,NA,NA
8,NA,NA,4310,Vietnam,"Lan, T. D., Huyen, N. T. M., Chien, H. T., & Hens, L. (2021). Identification and estimation of the marine ecosystem services surrounding selected offshore islands of Vietnam. Environment, Development and Sustainability, 23(2), 2224-2242.",NA,NA,NA
9,NA,NA,NA,NA,NA,NA,NA,NA
10,NA,NA,NA,NA,NA,NA,NA,NA
11,NA,NA,NA,NA,NA,NA,NA,NA
12,NA,NA,NA,NA,NA,NA,NA,NA
13,NA,NA,NA,NA,NA,NA,NA,NA
14,NA,NA,NA,NA,NA,NA,NA,NA
15,NA,NA,NA,NA,NA,NA,NA,NA
