taxon_raw,family_raw,category_raw,family,category_code,category,functional_group,ecosystem_role,ecosystem_benefit,trophic_group,herbivore_class,predator_class
Russel's snapper (Lutjanus rusellii),Lutjanus,A,NA,NA,NA,NA,NA,NA,NA,NA,NA
Moray Eel (Gymnothorax sp.),Maurenae,G,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fish (Unid),UNKN,I,UNKN,I,Unidentified,NA,NA,NA,NA,NA,NA
Fish (Unid),UNKN,I,UNKN,I,Unidentified,NA,NA,NA,NA,NA,NA
Grouper,Epinephelus,B,Epinephelus,B,Predator - Demersal,HTLP,Predator,Trophic Stability,piscivore,NA,demersal_predator
Grouper,Epinephelus,B,Epinephelus,B,Predator - Demersal,Piscivore,Predator,Trophic Stability,piscivore,NA,demersal_predator
Pufferfish,Tetrodontidae,F,Tetrodontidae,F,Puffer/Porcupine,Invertivore,Predator,Trophic Stability,invertivore,NA,NA
Bream Fish,NA,E,NA,E,Breams,Invertivore,Predator,Trophic Stability,invertivore,NA,NA
Cardinalfish,Apogonidae.sp,NA,Apogonidae.sp,NA,NA,??,??,NA,NA,NA,NA
Filefish,NA,H,NA,H,Misc.,Invertivore,Herbivory,Reef Resilience,invertivore,NA,NA
Dusky Rabbitfish,Signanidae,C,Signanidae,C,Midwater Schooling,Herbivore,Herbivory,Reef Resilience,herbivore,high,NA
Rabbitfish,Signanidae,C,Signanidae,C,Midwater Schooling,Herbivore,Herbivory,Reef Resilience,herbivore,high,NA
Damselfish,Pomecentridae,H,Pomecentridae,H,Misc.,Herbivore,Herbivory,Reef Resilience,herbivore,medium,NA
Porcupinefish,Diodontidae,NA,Diodontidae,NA,NA,Invertivore,Predation,Trophic Stability,invertivore,NA,NA
Fusilier fish,Caesonidae,C,Caesonidae,C,Midwater Schooling,Planktivore,Nutrient Cycling,Productivity,planktivore,NA,NA
Batfish,Platax,C,Platax,C,Midwater Schooling,Invertivore,Herbivory,Reef Resilience,invertivore,NA,NA
Squirrelfish,Holocentridae,H,Holocentridae,H,Misc.,Invertivore,Predator,Trophic Stability,invertivore,NA,NA
Trevally,Carangidae,A,Carangidae,A,Predator - Midwater,Piscivore,Predator,Trophic Stability,piscivore,NA,midwater_predator
Yellow-Stripe Trevally,Carangidae,A,Carangidae,A,Predator - Midwater,Piscivore,Predator,Trophic Stability,piscivore,NA,midwater_predator
Scorpionfish,NA,B,NA,B,Predator - Demersal,Piscivore,Predator,Trophic Stability,piscivore,NA,demersal_predator
Barracuda,Sphyrenadae,A,Sphyrenadae,A,Predator - Midwater,Predator,Predator,Trophic Stability,piscivore,NA,midwater_predator
8 Banded Butterflyfish,Chaetodontidae,D,Chaetodontidae,D,Reef Specific,Invertivore,??,Reef Resilience,invertivore,NA,NA
